yyyyq,Index,D3,D12,E3,E12,bm,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
19014,7.95,NaN,0.32,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009463521,NaN,NaN,NaN,0.003052058,NaN,NaN,NaN,NaN
19021,8.2,NaN,0.323,NaN,0.533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008381962,NaN,NaN,NaN,0.001702439,NaN,NaN,NaN,NaN
19022,8.41,NaN,0.325,NaN,0.565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008830844,NaN,NaN,NaN,0.002119074,NaN,NaN,NaN,NaN
19023,8.85,NaN,0.328,NaN,0.598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010022396,NaN,NaN,NaN,0.004084575,NaN,NaN,NaN,NaN
19024,8.05,NaN,0.33,NaN,0.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011948844,NaN,NaN,NaN,0.005486939,NaN,NaN,NaN,NaN
19031,8.08,NaN,0.335,NaN,0.605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010390172,NaN,NaN,NaN,0.002856109,NaN,NaN,NaN,NaN
19032,7.18,NaN,0.34,NaN,0.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010007801,NaN,NaN,NaN,0.005574498,NaN,NaN,NaN,NaN
19033,6.47,NaN,0.345,NaN,0.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011720944,NaN,NaN,NaN,0.010152713,NaN,NaN,NaN,NaN
19034,6.57,NaN,0.35,NaN,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0119268,NaN,NaN,NaN,0.006162261,NaN,NaN,NaN,NaN
19041,6.48,NaN,0.34,NaN,0.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009485596,NaN,NaN,NaN,0.003951832,NaN,NaN,NaN,NaN
19042,6.51,NaN,0.33,NaN,0.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007461988,NaN,NaN,NaN,0.001018239,NaN,NaN,NaN,NaN
19043,7.32,NaN,0.32,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007557625,NaN,NaN,NaN,0.002275031,NaN,NaN,NaN,NaN
19044,8.25,NaN,0.31,NaN,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008359911,NaN,NaN,NaN,0.005423739,NaN,NaN,NaN,NaN
19051,9.05,NaN,0.315,NaN,0.535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007565065,NaN,NaN,NaN,0.002435524,NaN,NaN,NaN,NaN
19052,8.6,NaN,0.32,NaN,0.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007542977,NaN,NaN,NaN,0.007027879,NaN,NaN,NaN,NaN
19053,9.23,NaN,0.325,NaN,0.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00852911,NaN,NaN,NaN,0.003368937,NaN,NaN,NaN,NaN
