yyyy,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1948,15.20,0.930,2.290,0.8409475465,0.0116,0.0279,0.0353,0.0237,0.2809669973,0.0151536312,0.0104454359,0.0266629284,0.1571404485,0.0338501479,0.0413587871,0.0213457203,0.0016330103,0.0352387868,0.0527557506,-0.0084882327
1949,16.76,1.140,2.320,0.7964292839,0.0110,0.0258,0.0331,0.0209,0.2720118346,0.0268473421,0.0111448091,-0.0181688529,0.1918691125,0.0643905297,0.0330876243,0.0118284706,0.0042520180,0.0292330227,0.1785178908,0.0956534513
1950,20.41,1.470,2.840,0.7225384419,0.0134,0.0267,0.0320,0.0224,0.2335644390,0.0314836493,0.0120272676,0.0576290087,0.2270227808,0.0005048300,0.0211518121,0.0211208402,0.0056625153,0.0347022515,0.3295829898,0.2300714245
1951,23.77,1.410,2.440,0.7213163466,0.0173,0.0301,0.0361,0.0269,0.2404246745,0.0359244798,0.0151653610,0.0584651304,0.2648236662,-0.0394216053,-0.0269030904,0.0116881950,0.0041468933,0.0327600460,0.2341920257,0.1602002639
1952,26.57,1.410,2.400,0.6940733128,0.0209,0.0297,0.0351,0.0279,0.2435081515,0.0265095279,0.0172125553,0.0087642033,0.2024971147,0.0116931021,0.0352092236,0.0063829926,0.0034459187,0.0320722164,0.1893948564,0.1228833395
1953,24.81,1.450,2.510,0.7597009612,0.0160,0.0313,0.0374,0.0274,0.2377102162,0.0246631973,0.0188931618,0.0062021668,0.2039784221,0.0362581936,0.0341144247,0.0081390778,0.0027933096,0.0332964322,-0.0170750688,-0.0730100982
1954,35.98,1.540,2.770,0.6041197854,0.0115,0.0290,0.0345,0.0272,0.2453708791,0.0260005989,0.0093795663,-0.0049952571,0.2131974362,0.0717764678,0.0538584853,0.0083919860,0.0028454745,0.0318091620,0.5261297584,0.4494263950
1955,45.48,1.640,3.620,0.5098280098,0.0254,0.0315,0.0362,0.0295,0.2259219613,0.0258071746,0.0172368158,0.0037243266,0.2753906250,-0.0128344889,0.0047973698,0.0219469063,0.0002437992,0.0359555812,0.3132811376,0.2579920235
1956,46.67,1.740,3.410,0.5441768274,0.0321,0.0375,0.0437,0.0345,0.2204584417,0.0254330133,0.0262459320,0.0285213390,0.2684888930,-0.0559421649,-0.0681462678,0.0139666490,0.0009698413,0.0346058908,0.0645652937,0.0219467412
1957,39.99,1.790,3.370,0.6536757786,0.0304,0.0381,0.0503,0.0323,0.2346707057,0.0348873975,0.0322066065,0.0301722027,0.2270010092,0.0746646691,0.0871354576,0.0171029323,0.0006679271,0.0332939654,-0.1083575442,-0.1474193950
1958,55.21,1.750,2.890,0.5117793198,0.0277,0.0408,0.0485,0.0382,0.2387353266,0.0236855323,0.0176930283,0.0175569494,0.1648351648,-0.0610620354,-0.0221699116,0.0085931895,0.0015858124,0.0295508150,0.4378715060,0.3832210565
