yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
20054,"1,248.29",22.216,69.830,0.3134779566,0.0389,0.0537,0.0632,0.0461,0.0117990272,0.0030712058,0.0097250000,-0.0100603622,0.0142266628,0.0115572459,0.0027908810,NaN,0.0365416137,0.0219556138,0.0169606728,6.079,17.300
20061,"1,294.83",22.784,72.670,0.3160094407,0.0451,0.0553,0.0641,0.0507,-0.0003633887,0.0021608169,0.0112750000,0.0152439024,-0.0428125027,-0.0371556308,0.0021691768,NaN,0.0373364022,0.0422135937,0.0374008727,5.912,19.690
20062,"1,270.20",23.437,74.490,0.3148502899,0.0479,0.0589,0.0678,0.0531,0.0067313349,-0.0021864728,0.0119750000,0.0155155155,-0.0147429672,-0.0205501853,0.0040577700,NaN,0.0375265027,-0.0150359793,-0.0196590912,6.017,20.110
20063,"1,335.85",24.096,78.570,0.3005932835,0.0481,0.0551,0.0643,0.0484,0.0097783178,-0.0094933356,0.0120250000,0.0000000000,0.0682517252,0.0800655669,0.0024342804,NaN,0.0376975825,0.0571333233,0.0522477225,6.088,21.470
20064,"1,418.30",24.884,81.510,0.2816823997,0.0485,0.0532,0.0622,0.0491,0.0029870133,-0.0150318062,0.0121250000,-0.0054213898,0.0042853884,0.0135398119,0.0014002892,NaN,0.0376194065,0.0659871987,0.0606878986,6.867,20.240
20071,"1,420.86",25.494,83.150,0.2690500135,0.0494,0.0530,0.0627,0.0493,-0.0083902683,-0.0124806913,0.0123500000,0.0176015857,0.0081254047,-0.0001881489,0.0035148508,NaN,0.0378196105,0.0065771216,0.0020429761,6.522,21.330
20072,"1,503.35",26.170,84.921,0.2478956100,0.0461,0.0579,0.0670,0.0521,-0.0033460826,-0.0110574783,0.0115250000,0.0146090615,-0.0206638030,-0.0187892718,0.0027511223,NaN,0.0381695856,0.0620168528,0.0571980841,6.693,21.881
20073,"1,526.75",26.978,78.601,0.2392074367,0.0389,0.0574,0.0659,0.0489,0.0005365765,-0.0130109570,0.0097250000,0.0006623407,0.0501237982,0.0256127034,0.0094287376,NaN,0.0382644712,0.0202731221,0.0153711919,6.896,15.150
20074,"1,468.36",27.732,66.181,0.2505829731,0.0300,0.0549,0.0665,0.0450,0.0020975261,-0.0415914375,0.0075000000,0.0074152238,0.0599426263,0.0196164747,0.0096650442,NaN,0.0383459608,-0.0307050793,-0.0356807454,7.621,7.820
20081,"1,322.70",28.302,60.391,0.2540575672,0.0126,0.0551,0.0689,0.0432,0.0028124987,-0.0528770419,0.0031500000,0.0166257213,0.0339836064,-0.0112801388,0.0143951026,NaN,0.0379910889,-0.0937549705,-0.0985041517,7.092,15.540
